Ticker,Close,MA3,MA5,MA10,MA20,MA50,MA100,Range_Ticks,Vol_Pct,Volume,MA_Tight,Signal
COCO.JK,31.0,31.333333333333332,31.6,32.2,32.4,34.42,30.9,3.4200000000000017,2.4611707700979264,5363000,True,True
CPIN.JK,31.0,31.333333333333332,31.6,32.2,32.4,34.42,30.9,3.4200000000000017,2.4611707700979264,5363000,True,True
CPRO.JK,31.0,31.333333333333332,31.6,32.2,32.4,34.42,30.9,3.4200000000000017,2.4611707700979264,5363000,True,True
CSAP.JK,31.0,31.333333333333332,31.6,32.2,32.4,34.42,30.9,3.4200000000000017,2.4611707700979264,5363000,True,True
INDX.JK,575.0,585.0,590.0,586.0,577.25,562.3,547.65,5.540000000000009,1.2953639386515632,24359000,True,True
INDY.JK,575.0,585.0,590.0,586.0,577.25,562.3,547.65,5.540000000000009,1.2953639386515632,24359000,True,True
INET.JK,575.0,585.0,590.0,586.0,577.25,562.3,547.65,5.540000000000009,1.2953639386515632,24359000,True,True
INPC.JK,575.0,585.0,590.0,586.0,577.25,562.3,547.65,5.540000000000009,1.2953639386515632,24359000,True,True
MEGA.JK,3940.0,3926.6666666666665,3924.0,3919.0,3908.0,3887.3861328125,3798.359772949219,5.261386718750009,0.23454894545336594,1003200,True,True
META.JK,3940.0,3926.6666666666665,3924.0,3919.0,3908.0,3887.3861328125,3798.359772949219,5.261386718750009,0.23454894545336594,1003200,True,True
